SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SepalArea,PetalArea,TotalFlowerArea,SepalPetalRatio,PetalAspectRatio,FlowerVolumeIndex,Temperature,Humidity,SunlightHours,SoilPH,SoilMoisture,Rainfall,HealthScore,DiseaseRisk,Species
6.6,3.2,4.7,1.2,21.12,5.64,26.76,1.404,3.917,9.93,29.0,51,6.3,5.58,60,71.2,86.3,2,1
5.6,3.1,4.8,1.2,17.36,5.76,23.12,1.167,4.0,8.33,27.2,70,6.0,7.23,79,84.2,83.8,2,1
6.3,3.2,3.7,1.0,20.16,3.7,23.86,1.703,3.7,7.46,30.3,61,5.1,7.43,46,28.8,78.9,2,1
6.4,2.4,4.3,1.4,15.36,6.02,21.38,1.488,3.071,6.6,23.4,81,5.1,5.59,57,20.4,88.8,1,1
7.0,3.7,6.3,1.6,25.9,10.08,35.98,1.111,3.937,16.32,24.0,87,9.5,6.75,72,215.0,93.7,1,2
6.0,2.9,3.7,1.6,17.4,5.92,23.32,1.622,2.312,6.44,25.8,57,6.5,7.38,73,192.1,76.6,2,1
5.8,3.1,4.5,1.7,17.98,7.65,25.63,1.289,2.647,8.09,24.0,82,7.6,6.14,58,121.7,80.7,2,2
6.6,3.3,4.5,1.5,21.78,6.75,28.53,1.467,3.0,9.8,22.0,87,7.8,6.17,82,239.0,79.3,2,1
5.4,2.3,3.1,1.2,12.42,3.72,16.14,1.742,2.583,3.85,24.7,49,6.7,7.27,66,64.7,80.6,2,1
5.7,2.2,4.4,1.7,12.54,7.48,20.02,1.295,2.588,5.52,30.0,51,8.7,5.94,81,240.3,85.2,2,1
5.1,4.2,1.1,0.2,21.42,0.22,21.64,4.636,5.5,2.36,24.5,78,9.9,6.69,78,225.0,72.2,0,0
7.6,2.9,6.7,1.9,22.04,12.73,34.77,1.134,3.526,14.77,20.2,75,6.7,7.0,83,166.7,99.7,1,2
6.4,2.6,5.6,2.2,16.64,12.32,28.96,1.143,2.545,9.32,21.3,66,5.9,6.58,38,54.7,92.8,1,2
5.4,2.4,1.4,0.4,12.96,0.56,13.52,3.857,3.5,1.81,23.8,58,9.0,6.28,79,154.3,74.2,0,0
6.0,2.2,5.3,2.2,13.2,11.66,24.86,1.132,2.409,7.0,29.9,71,7.2,6.97,81,158.7,88.8,1,2
4.7,3.3,1.3,0.4,15.51,0.52,16.03,3.615,3.25,2.02,29.2,55,9.0,7.34,69,142.8,77.6,2,0
6.6,2.2,6.0,1.5,14.52,9.0,23.52,1.1,4.0,8.71,24.5,48,5.6,6.15,59,95.2,92.2,1,2
5.5,3.3,3.9,1.7,18.15,6.63,24.78,1.41,2.294,7.08,24.6,79,4.3,7.4,44,169.5,87.8,2,1
5.0,2.2,5.1,2.3,11.0,11.73,22.73,0.98,2.217,5.61,26.7,60,4.8,6.84,66,238.0,92.9,1,2
6.5,2.2,4.3,1.6,14.3,6.88,21.18,1.512,2.687,6.15,19.6,55,9.8,5.72,31,233.6,85.0,2,1
5.7,3.0,3.2,1.6,17.1,5.12,22.22,1.781,2.0,5.47,26.8,51,8.2,6.1,73,158.1,74.2,0,1
7.2,2.8,5.5,1.8,20.16,9.9,30.06,1.309,3.056,11.09,25.1,66,4.1,6.34,61,44.3,97.2,1,2
7.6,2.9,4.9,1.6,22.04,7.84,29.88,1.551,3.062,10.8,25.3,86,5.6,7.12,64,198.2,85.1,2,2
6.7,2.7,5.1,2.4,18.09,12.24,30.33,1.314,2.125,9.23,21.9,73,5.5,6.43,69,173.7,91.9,1,2
6.7,2.3,3.4,1.6,15.41,5.44,20.85,1.971,2.125,5.24,22.8,83,8.2,6.05,30,138.8,75.9,2,1
5.4,3.3,1.7,0.4,17.82,0.68,18.5,3.176,4.25,3.03,27.0,76,6.7,5.53,48,71.0,74.4,0,0
6.3,2.5,4.2,1.3,15.75,5.46,21.21,1.5,3.231,6.62,32.0,80,6.0,6.91,47,90.5,76.6,2,1
5.5,2.4,5.8,2.2,13.2,12.76,25.96,0.948,2.636,7.66,20.6,58,8.4,6.05,67,244.6,95.9,1,2
7.0,3.2,3.6,1.3,22.4,4.68,27.08,1.944,2.769,8.06,22.2,90,7.2,6.05,33,147.3,82.5,2,1
5.3,3.9,1.1,0.1,20.67,0.11,20.78,4.818,11.0,2.27,22.0,75,6.6,5.87,33,78.1,76.0,2,0
5.5,3.1,1.1,0.4,17.05,0.44,17.49,5.0,2.75,1.88,18.8,54,8.9,7.4,35,248.6,64.8,0,0
6.2,3.1,3.5,1.4,19.22,4.9,24.12,1.771,2.5,6.73,24.3,73,5.8,6.68,57,90.2,81.7,2,1
7.8,2.4,6.3,2.1,18.72,13.23,31.95,1.238,3.0,11.79,21.7,50,4.9,5.85,34,56.0,95.0,1,2
6.7,2.7,5.1,2.2,18.09,11.22,29.31,1.314,2.318,9.23,27.8,74,4.4,5.97,46,201.2,94.4,1,2
7.3,2.5,4.8,1.6,18.25,7.68,25.93,1.521,3.0,8.76,20.1,62,9.0,5.64,40,202.3,86.9,2,2
7.7,2.9,5.6,1.7,22.33,9.52,31.85,1.375,3.294,12.5,23.6,62,7.0,6.49,35,157.5,95.3,1,2
5.9,2.6,4.7,2.5,15.34,11.75,27.09,1.255,1.88,7.21,29.7,81,7.5,5.54,78,174.6,89.8,1,2
5.4,2.7,1.5,0.3,14.58,0.45,15.03,3.6,5.0,2.19,21.9,82,6.6,7.13,35,128.1,69.4,0,0
6.3,3.2,3.7,1.6,20.16,5.92,26.08,1.703,2.312,7.46,22.0,70,8.9,6.6,59,40.3,77.9,2,1
5.8,3.1,1.5,0.6,17.98,0.9,18.88,3.867,2.5,2.7,27.2,79,6.8,5.61,63,103.2,75.9,2,0
6.2,2.3,5.1,1.5,14.26,7.65,21.91,1.216,3.4,7.27,22.0,89,6.9,5.56,70,160.0,81.1,2,2
4.8,2.3,1.4,0.2,11.04,0.28,11.32,3.429,7.0,1.55,29.8,52,6.8,5.73,83,55.4,77.5,2,0
6.0,2.4,4.8,1.8,14.4,8.64,23.04,1.25,2.667,6.91,21.4,80,4.9,5.88,68,136.9,93.3,1,1
4.7,4.0,1.4,0.6,18.8,0.84,19.64,3.357,2.333,2.63,25.1,45,5.7,6.1,67,153.4,74.2,0,0
5.0,3.3,1.3,0.5,16.5,0.65,17.15,3.846,2.6,2.15,23.3,65,9.2,7.46,45,151.5,67.0,0,0
5.0,3.0,4.5,1.6,15.0,7.2,22.2,1.111,2.812,6.75,23.4,87,8.8,6.8,39,133.9,77.0,2,1
7.8,2.7,4.7,2.3,21.06,10.81,31.87,1.66,2.043,9.9,19.4,74,4.1,5.79,85,170.6,86.1,2,2
6.5,2.4,4.3,1.3,15.6,5.59,21.19,1.512,3.308,6.71,19.1,66,9.1,7.22,54,239.5,83.2,2,1
6.7,2.1,3.1,1.5,14.07,4.65,18.72,2.161,2.067,4.36,30.9,59,8.5,6.37,36,194.9,82.6,2,1
5.0,3.8,1.8,0.1,19.0,0.18,19.18,2.778,18.0,3.42,29.1,63,6.2,6.36,45,142.2,71.4,0,0
4.6,2.5,1.8,0.4,11.5,0.72,12.22,2.556,4.5,2.07,21.4,82,4.9,6.42,46,125.7,74.1,0,0
6.8,2.9,3.3,1.4,19.72,4.62,24.34,2.061,2.357,6.51,22.8,82,5.8,7.42,74,77.5,84.8,2,1
5.8,4.1,1.1,0.3,23.78,0.33,24.11,5.273,3.667,2.62,23.0,63,10.0,6.09,83,171.4,67.1,0,0
7.5,3.4,6.8,2.4,25.5,16.32,41.82,1.103,2.833,17.34,28.4,63,8.7,5.96,81,101.0,100.0,1,2
5.7,3.4,6.3,2.1,19.38,13.23,32.61,0.905,3.0,12.21,19.9,51,9.4,6.79,49,201.4,89.0,1,2
6.4,2.1,3.6,1.6,13.44,5.76,19.2,1.778,2.25,4.84,20.5,53,8.7,7.25,53,142.1,88.1,1,1
4.7,4.0,1.4,0.5,18.8,0.7,19.5,3.357,2.8,2.63,28.5,66,8.8,6.44,34,52.4,78.9,2,0
7.1,3.8,6.8,2.3,26.98,15.64,42.62,1.044,2.957,18.35,23.1,70,4.1,6.57,59,104.8,100.0,1,2
6.1,3.2,5.0,1.1,19.52,5.5,25.02,1.22,4.545,9.76,21.3,46,7.7,7.39,50,230.5,76.5,2,1
5.3,3.3,1.6,0.4,17.49,0.64,18.13,3.312,4.0,2.8,19.6,47,9.7,6.11,61,46.7,67.0,0,0
5.3,2.9,6.1,2.2,15.37,13.42,28.79,0.869,2.773,9.38,31.2,71,7.5,6.95,56,170.6,100.0,1,2
6.1,3.7,4.6,1.8,22.57,8.28,30.85,1.326,2.556,10.38,24.2,60,9.1,5.7,73,104.5,93.0,1,2
6.0,2.8,5.0,1.5,16.8,7.5,24.3,1.2,3.333,8.4,29.9,74,4.6,5.92,70,157.3,77.3,2,2
5.4,2.2,4.2,1.1,11.88,4.62,16.5,1.286,3.818,4.99,28.7,58,7.5,7.13,44,95.6,73.6,0,1
4.9,3.6,4.8,1.5,17.64,7.2,24.84,1.021,3.2,8.47,21.5,56,4.7,7.23,38,23.4,89.0,1,2
5.2,2.3,1.2,0.2,11.96,0.24,12.2,4.333,6.0,1.44,23.9,52,8.5,6.45,79,103.3,72.0,0,0
6.0,3.3,3.1,1.6,19.8,4.96,24.76,1.935,1.938,6.14,30.1,78,5.8,6.79,31,34.0,79.6,2,1
5.8,2.2,4.5,1.4,12.76,6.3,19.06,1.289,3.214,5.74,30.6,65,7.6,5.63,47,163.6,84.0,2,1
5.9,3.8,5.8,1.9,22.42,11.02,33.44,1.017,3.053,13.0,26.5,51,8.8,5.73,71,169.7,96.3,1,2
7.5,2.9,6.6,1.9,21.75,12.54,34.29,1.136,3.474,14.35,29.6,70,6.5,5.69,57,91.9,91.2,1,2
5.3,3.3,1.1,0.1,17.49,0.11,17.6,4.818,11.0,1.92,24.0,68,8.9,6.61,67,240.0,71.2,0,0
5.3,2.8,6.1,2.2,14.84,13.42,28.26,0.869,2.773,9.05,30.2,48,9.8,6.7,52,43.8,97.0,1,2
5.3,2.8,1.1,0.5,14.84,0.55,15.39,4.818,2.2,1.63,23.1,62,7.4,7.11,84,149.0,75.4,2,0
6.7,3.2,4.6,2.4,21.44,11.04,32.48,1.457,1.917,9.86,29.6,62,4.2,6.05,78,91.1,89.5,1,2
4.6,2.6,1.6,0.1,11.96,0.16,12.12,2.875,16.0,1.91,28.4,46,4.6,6.56,54,116.6,67.8,0,0
5.6,2.5,5.0,1.5,14.0,7.5,21.5,1.12,3.333,7.0,30.4,54,4.9,6.74,73,38.8,84.1,2,1
5.9,2.6,3.6,1.6,15.34,5.76,21.1,1.639,2.25,5.52,19.6,72,4.7,6.86,67,131.9,84.2,2,1
4.6,4.4,1.0,0.2,20.24,0.2,20.44,4.6,5.0,2.02,31.2,53,8.6,6.08,37,21.8,74.4,0,0
4.5,3.4,1.2,0.4,15.3,0.48,15.78,3.75,3.0,1.84,27.4,67,4.4,7.22,32,120.3,70.3,0,0
5.6,3.5,1.5,0.5,19.6,0.75,20.35,3.733,3.0,2.94,23.8,52,6.4,7.43,40,204.3,73.4,0,0
7.7,2.3,6.5,1.7,17.71,11.05,28.76,1.185,3.824,11.51,26.2,78,4.5,7.24,77,98.1,89.4,1,2
4.4,3.6,1.5,0.2,15.84,0.3,16.14,2.933,7.5,2.38,28.9,67,8.4,7.14,82,54.0,64.2,0,0
5.3,2.8,4.6,1.5,14.84,6.9,21.74,1.152,3.067,6.83,20.5,85,7.0,7.01,78,153.3,86.7,2,1
6.8,3.8,5.3,2.5,25.84,13.25,39.09,1.283,2.12,13.7,22.4,73,4.4,6.38,49,203.2,98.0,1,2
6.0,2.4,3.9,1.0,14.4,3.9,18.3,1.538,3.9,5.62,29.6,49,7.9,7.45,35,161.5,77.9,2,1
6.1,3.3,4.6,1.0,20.13,4.6,24.73,1.326,4.6,9.26,30.7,81,7.9,6.14,60,135.3,86.5,2,1
5.1,3.3,3.7,1.6,16.83,5.92,22.75,1.378,2.312,6.23,25.1,56,4.2,6.92,58,140.5,83.6,2,1
5.7,2.4,3.9,1.3,13.68,5.07,18.75,1.462,3.0,5.34,26.4,85,7.9,5.63,36,148.3,78.3,2,1
6.4,2.9,4.9,1.7,18.56,8.33,26.89,1.306,2.882,9.09,22.7,82,8.0,7.33,49,242.6,89.8,1,1
5.2,3.0,3.2,1.4,15.6,4.48,20.08,1.625,2.286,4.99,27.0,66,8.9,6.84,83,237.8,86.9,2,1
5.2,3.3,5.7,1.4,17.16,7.98,25.14,0.912,4.071,9.78,22.3,58,6.1,7.03,42,72.1,80.2,2,2
4.7,4.0,1.5,0.4,18.8,0.6,19.4,3.133,3.75,2.82,28.3,78,4.2,6.17,79,162.1,72.8,0,0
4.5,4.0,1.7,0.5,18.0,0.85,18.85,2.647,3.4,3.06,20.3,73,4.3,6.23,76,74.6,70.8,0,0
6.5,3.1,3.5,1.2,20.15,4.2,24.35,1.857,2.917,7.05,31.5,75,9.4,5.89,73,237.8,86.2,2,1
6.5,3.1,4.1,1.3,20.15,5.33,25.48,1.585,3.154,8.26,20.3,57,8.8,5.78,46,32.0,80.3,2,1
6.1,2.1,4.8,1.7,12.81,8.16,20.97,1.271,2.824,6.15,22.0,55,5.6,7.31,39,211.1,79.8,2,1
5.5,4.2,1.8,0.3,23.1,0.54,23.64,3.056,6.0,4.16,23.6,68,5.4,7.49,53,71.6,68.2,0,0
5.6,3.7,1.7,0.2,20.72,0.34,21.06,3.294,8.5,3.52,22.0,75,8.2,5.78,75,127.9,72.5,0,0
4.3,2.8,1.1,0.6,12.04,0.66,12.7,3.909,1.833,1.32,26.5,72,4.7,6.08,49,48.0,67.1,0,0
7.3,2.9,4.8,2.4,21.17,11.52,32.69,1.521,2.0,10.16,26.4,46,7.8,6.65,75,53.0,91.9,1,2
6.0,3.1,4.9,2.1,18.6,10.29,28.89,1.224,2.333,9.11,25.3,68,4.4,6.55,62,200.9,90.7,1,2
4.9,3.3,1.6,0.6,16.17,0.96,17.13,3.062,2.667,2.59,21.6,46,6.1,5.64,45,188.6,74.0,0,0
7.1,2.7,4.6,2.0,19.17,9.2,28.37,1.543,2.3,8.82,29.4,56,9.0,6.87,74,130.1,83.3,2,2
4.4,3.9,1.4,0.2,17.16,0.28,17.44,3.143,7.0,2.4,18.6,57,9.3,6.13,49,138.5,78.4,2,0
6.3,2.3,6.1,1.7,14.49,10.37,24.86,1.033,3.588,8.84,30.1,48,9.2,6.16,37,203.8,89.7,1,2
6.5,3.3,3.8,1.8,21.45,6.84,28.29,1.711,2.111,8.15,24.9,76,6.2,7.09,47,204.3,87.3,2,1
4.9,4.4,1.2,0.2,21.56,0.24,21.8,4.083,6.0,2.59,19.4,65,8.0,6.11,68,185.1,65.1,0,0
5.6,2.1,4.8,1.3,11.76,6.24,18.0,1.167,3.692,5.64,32.0,62,7.8,7.08,33,37.3,84.7,2,1
6.0,3.0,3.3,1.0,18.0,3.3,21.3,1.818,3.3,5.94,29.9,88,8.7,5.57,34,74.3,78.9,2,1
5.7,2.8,4.3,1.5,15.96,6.45,22.41,1.326,2.867,6.86,31.3,68,6.7,5.65,38,141.8,81.3,2,1
5.7,3.7,4.6,1.6,21.09,7.36,28.45,1.239,2.875,9.7,25.2,80,4.7,7.05,75,122.6,92.7,1,2
6.4,3.4,3.4,1.1,21.76,3.74,25.5,1.882,3.091,7.4,19.0,56,9.4,6.39,35,206.4,85.0,2,1
6.3,3.0,4.2,1.2,18.9,5.04,23.94,1.5,3.5,7.94,22.2,55,8.3,7.35,70,60.0,77.9,2,1
4.5,2.7,1.1,0.5,12.15,0.55,12.7,4.091,2.2,1.34,18.4,80,7.4,6.43,65,49.8,77.2,2,0
4.8,4.4,1.6,0.4,21.12,0.64,21.76,3.0,4.0,3.38,28.8,81,4.4,7.44,71,37.1,70.7,0,0
5.9,3.6,6.4,2.1,21.24,13.44,34.68,0.922,3.048,13.59,20.5,53,6.6,7.32,33,211.2,97.2,1,2
5.2,2.5,4.5,1.3,13.0,5.85,18.85,1.156,3.462,5.85,31.2,63,9.1,6.0,70,240.0,78.1,2,1
5.8,3.1,5.7,1.6,17.98,9.12,27.1,1.018,3.562,10.25,31.2,54,5.0,6.75,68,97.7,95.0,1,2
5.5,2.4,1.0,0.4,13.2,0.4,13.6,5.5,2.5,1.32,26.1,86,5.3,6.64,69,167.0,70.8,0,0
6.5,3.2,5.2,1.7,20.8,8.84,29.64,1.25,3.059,10.82,29.3,70,5.8,5.65,33,56.4,86.3,2,2
5.3,2.8,3.7,1.6,14.84,5.92,20.76,1.432,2.312,5.49,28.3,67,9.9,5.76,53,138.4,75.5,2,1
5.0,2.9,1.2,0.1,14.5,0.12,14.62,4.167,12.0,1.74,22.1,69,9.2,6.34,85,227.5,75.3,2,0
7.1,2.5,4.9,2.5,17.75,12.25,30.0,1.449,1.96,8.7,24.5,64,7.0,5.68,55,136.3,100.0,1,2
5.2,2.4,1.3,0.4,12.48,0.52,13.0,4.0,3.25,1.62,29.8,88,6.8,6.57,84,44.7,65.2,0,0
6.4,3.1,3.8,1.3,19.84,4.94,24.78,1.684,2.923,7.54,26.0,57,6.2,6.08,54,136.0,84.1,2,1
6.6,2.9,4.3,1.1,19.14,4.73,23.87,1.535,3.909,8.23,19.4,68,8.8,6.18,53,193.6,74.6,0,1
6.1,2.3,4.6,2.2,14.03,10.12,24.15,1.326,2.091,6.45,29.3,78,6.7,6.71,62,52.1,97.1,1,2
5.2,3.4,4.6,1.2,17.68,5.52,23.2,1.13,3.833,8.13,22.7,77,7.2,6.92,49,129.2,73.3,0,1
6.3,3.4,4.2,1.6,21.42,6.72,28.14,1.5,2.625,9.0,28.2,89,7.8,6.69,46,242.4,88.0,2,1
6.6,3.4,5.9,1.6,22.44,9.44,31.88,1.119,3.688,13.24,26.8,84,8.6,6.26,82,176.6,81.4,2,2
5.2,2.2,5.3,1.6,11.44,8.48,19.92,0.981,3.312,6.06,27.7,71,7.0,6.72,60,220.7,90.7,1,2
5.4,3.4,1.5,0.6,18.36,0.9,19.26,3.6,2.5,2.75,24.7,69,5.9,5.85,64,98.7,69.5,0,0
6.9,3.5,5.1,1.9,24.15,9.69,33.84,1.353,2.684,12.32,31.4,62,7.3,5.95,49,197.4,92.7,1,2
7.0,2.7,5.3,2.4,18.9,12.72,31.62,1.321,2.208,10.02,29.1,62,5.7,6.65,64,107.3,100.0,1,2
6.9,3.1,3.6,1.2,21.39,4.32,25.71,1.917,3.0,7.7,28.0,67,9.5,6.81,77,130.2,73.9,0,1
5.7,3.1,5.2,1.5,17.67,7.8,25.47,1.096,3.467,9.19,28.4,60,5.5,6.84,63,71.9,81.3,2,2
4.9,3.8,1.1,0.5,18.62,0.55,19.17,4.455,2.2,2.05,18.1,80,9.9,5.82,71,235.1,77.2,2,0
6.3,3.1,3.6,1.2,19.53,4.32,23.85,1.75,3.0,7.03,18.8,50,7.9,5.96,77,186.3,85.6,2,1
4.9,4.1,1.8,0.1,20.09,0.18,20.27,2.722,18.0,3.62,29.7,76,5.1,7.0,85,233.0,76.4,2,0
4.7,3.6,1.8,0.3,16.92,0.54,17.46,2.611,6.0,3.05,24.4,86,7.3,6.49,38,215.7,70.6,0,0
5.5,3.0,1.7,0.4,16.5,0.68,17.18,3.235,4.25,2.81,28.1,45,8.4,7.08,66,175.1,66.5,0,0
7.5,3.6,6.5,2.0,27.0,13.0,40.0,1.154,3.25,17.55,19.2,87,4.6,7.46,60,94.4,92.0,1,2
5.7,2.6,3.6,1.3,14.82,4.68,19.5,1.583,2.769,5.34,26.2,81,4.1,6.81,74,74.3,82.0,2,1
5.5,2.6,4.1,1.7,14.3,6.97,21.27,1.341,2.412,5.86,27.8,64,8.1,6.78,48,104.5,79.5,2,1
5.0,3.3,1.9,0.3,16.5,0.57,17.07,2.632,6.333,3.13,27.8,75,8.5,7.1,82,70.2,67.1,0,0
7.5,2.3,5.6,2.2,17.25,12.32,29.57,1.339,2.545,9.66,19.1,81,4.7,7.16,62,66.5,95.2,1,2
4.8,3.4,1.1,0.2,16.32,0.22,16.54,4.364,5.5,1.8,26.2,50,9.4,6.39,33,124.3,70.7,0,0
6.1,2.8,4.4,1.2,17.08,5.28,22.36,1.386,3.667,7.52,18.3,61,8.9,6.99,67,36.8,79.3,2,1
5.1,3.8,6.7,1.5,19.38,10.05,29.43,0.761,4.467,12.98,31.1,47,5.7,5.86,38,196.1,97.8,1,2
7.8,2.8,6.6,1.9,21.84,12.54,34.38,1.182,3.474,14.41,30.8,69,6.3,6.87,72,221.1,89.2,1,2
5.1,3.4,3.8,1.1,17.34,4.18,21.52,1.342,3.455,6.59,31.7,45,8.5,7.46,59,174.9,79.1,2,1
6.0,2.6,5.6,1.6,15.6,8.96,24.56,1.071,3.5,8.74,20.6,52,4.2,6.82,69,196.2,94.1,1,2
4.7,2.4,1.5,0.3,11.28,0.45,11.73,3.133,5.0,1.69,27.4,48,5.5,5.59,58,73.9,66.4,0,0
4.5,4.4,1.2,0.6,19.8,0.72,20.52,3.75,2.0,2.38,26.1,81,7.6,6.85,50,74.5,77.5,2,0
6.5,2.9,5.2,2.0,18.85,10.4,29.25,1.25,2.6,9.8,26.3,56,7.8,6.35,61,30.8,88.3,1,2
6.9,3.5,5.3,1.9,24.15,10.07,34.22,1.302,2.789,12.8,20.1,69,5.1,6.58,45,215.3,87.0,2,2
5.3,2.9,4.6,1.9,15.37,8.74,24.11,1.152,2.421,7.07,23.8,78,4.8,5.99,43,96.0,80.7,2,2
6.7,2.1,4.5,1.2,14.07,5.4,19.47,1.489,3.75,6.33,21.8,88,7.6,5.58,34,63.3,85.0,2,1
6.9,2.5,5.0,2.4,17.25,12.0,29.25,1.38,2.083,8.62,22.2,45,5.3,5.88,77,47.0,100.0,1,2
6.8,3.0,4.5,1.3,20.4,5.85,26.25,1.511,3.462,9.18,21.4,65,8.7,6.26,64,169.2,78.6,2,1
6.0,2.7,3.2,1.8,16.2,5.76,21.96,1.875,1.778,5.18,24.6,65,9.5,6.24,56,30.5,87.3,2,1
5.3,2.6,6.7,2.0,13.78,13.4,27.18,0.791,3.35,9.23,23.8,54,5.2,5.96,66,211.7,96.8,1,2
7.7,2.7,6.3,1.9,20.79,11.97,32.76,1.222,3.316,13.1,28.1,76,6.8,6.97,52,58.9,97.5,1,2
5.3,3.2,5.1,1.8,16.96,9.18,26.14,1.039,2.833,8.65,25.3,49,9.7,6.84,78,21.5,82.6,2,1
5.6,3.3,4.5,2.0,18.48,9.0,27.48,1.244,2.25,8.32,23.2,84,7.8,7.37,60,171.6,80.3,2,2
6.6,2.2,5.8,1.7,14.52,9.86,24.38,1.138,3.412,8.42,31.7,46,7.0,6.9,57,205.4,96.3,1,2
5.7,3.4,1.2,0.4,19.38,0.48,19.86,4.75,3.0,2.33,21.5,67,5.6,6.29,53,240.6,70.3,0,0
5.8,2.8,1.6,0.5,16.24,0.8,17.04,3.625,3.2,2.6,27.2,86,8.6,5.69,54,106.7,71.2,0,0
4.9,2.5,5.7,1.9,12.25,10.83,23.08,0.86,3.0,6.98,29.0,81,9.9,7.45,63,231.4,87.3,2,2
7.6,3.0,4.6,1.5,22.8,6.9,29.7,1.652,3.067,10.49,31.0,79,7.4,5.57,84,92.3,91.2,1,2
5.3,3.5,6.5,2.4,18.55,15.6,34.15,0.815,2.708,12.06,22.2,81,5.4,7.17,54,175.7,100.0,1,2
